ci 0
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x50 122 124 140 126 130 136 132 130 130 124 116 118 130 128 124 138
0x60 122 140 140 126 126 116 128 142 126 120 136 122 130 112 132 130
0x70 140 130 130 144 144 138 134 128 116 130 122 120 120 122 134 128
0x80 126 124 136 134 114 116 124 134 122 136 124 114 126 128 136 122
0x90 140 118 130 116 136 118 126 140 124 118 130 140 120 134 134 124
0xa0 140 126 122 116 116 138 130 136 128 130 134 120 128 134 126 124
0xb0 138 128 124 130 130 140 132 118 130 120 132 114 130 140 140 134
0xc0 134 140 136 134 130 116 124 126 126 140 120 134 138 116 132 134
0xd0 124 118 138 116 136 142 126 124 128 114 142 120 140 122 138 120
0xe0 132 134 130 116 116 114 122 128 116 126 122 124 124 130 130 120
0xf0 138 136 124 130 114 124 140 134 134 140 136 126 118 136 120 130
ci 19
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 130 126 120 138 116 132 126 140 134 134 128 126 136 124 126
0x10 122 128 136 126 140 122 126 132 126 124 120 142 128 142 118 132
0x20 134 120 144 130 124 142 122 116 126 136 140 126 124 142 134 136
0x30 140 122 118 124 130 128 120 134 132 122 130 120 122 136 124 130
0x40 124 122 130 120 134 140 120 142 132 122 134 140 118 124 140 122
0x50 122 132 120 130 140 126 126 120 130 132 140 134 132 118 122 140
0x60 114 120 132 122 144 118 118 116 126 140 132 122 132 122 134 140
0x70 116 142 142 128 130 140 136 130 136 122 134 136 118 128 120 138
0x80 126 116 112 134 124 138 122 128 118 132 116 138 124 138 126 140
0x90 120 114 114 132 134 120 116 134 128 130 134 136 126 128 128 138
0xa0 136 134 118 140 130 128 132 130 124 114 126 116 142 140 124 130
0xb0 118 128 140 134 136 130 138 140 130 132 140 134 132 126 130 140
0xc0 130 124 132 126 112 130 126 136 118 120 132 126 124 126 142 128
0xd0 136 126 122 120 134 116 140 138 116 130 114 128 114 128 140 130
0xe0 124 118 122 124 142 136 112 122 132 118 134 120 126 120 124 126
0xf0 126 140 140 138 120 118 130 136 134 140 120 134 128 126 118 116
ci 20
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 140 120 128 140 140 120 140 124 120 128 120 128 136 128 124
0x10 116 124 136 124 116 128 132 116 136 112 120 124 120 140 124 132
0x20 122 134 126 118 130 122 130 142 126 130 118 134 142 118 122 118
0x30 130 122 130 134 134 138 122 114 126 126 130 126 130 118 130 122
0x40 130 134 118 126 134 126 126 130 126 122 126 142 130 122 142 130
0x50 134 126 126 122 118 114 122 130 122 122 126 130 114 142 122 130
0x60 140 120 132 132 132 124 136 140 120 116 116 116 128 112 128 140
0x70 116 116 128 132 144 124 128 136 136 136 120 124 124 128 120 120
0x80 126 142 122 126 130 134 122 122 122 114 130 126 118 138 114 114
0x90 138 126 114 122 138 130 118 138 134 114 122 122 134 142 134 138
0xa0 136 120 136 124 136 116 140 116 116 116 136 124 124 128 124 140
0xb0 136 140 132 124 124 124 116 128 116 120 132 124 120 144 124 128
0xc0 140 124 140 120 136 124 132 140 128 144 140 120 140 120 140 140
0xd0 136 132 124 132 136 120 128 116 124 136 140 116 132 140 128 124
0xe0 126 118 122 126 126 130 126 118 138 122 138 134 138 126 118 126
0xf0 126 130 142 126 138 122 118 122 122 134 126 134 126 126 118 122
ci 21
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
